Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,X,Exports,1992,million USD,3880.18304,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1992,million USD,3941.018452,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1992,million USD,30759.4281,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,X,Exports,1992,million USD,310.542624,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,M,Imports,1992,million USD,1248.809088,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,M,Imports,1992,million USD,3397.279232,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1992,million USD,7435.596792,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1992,million USD,11598.75475,,WTO,
CN,China,WL,World,MIFU,Fuels,M,Imports,1992,million USD,3570.267136,,WTO,
CN,China,WL,World,MACH,Chemicals,X,Exports,1992,million USD,4349.006848,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1992,million USD,7560.009216,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1992,million USD,8583.169536,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1992,million USD,13203.328,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1992,million USD,6379.68512,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1992,million USD,64683.45838,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1992,million USD,4430.84544,,WTO,
CN,China,WL,World,MIFU,Fuels,X,Exports,1992,million USD,4692.291072,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1992,million USD,16703.77984,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1992,million USD,5323.513632,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1992,million USD,6128.239824,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,1992,million USD,475.994976,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,M,Imports,1992,million USD,6823.500736,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1992,million USD,9636.84008,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1993,million USD,103959,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1993,million USD,91744,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,X,Exports,1993,million USD,359.850112,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1993,million USD,15261.7513,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1993,million USD,18441.25286,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,X,Exports,1993,million USD,358.432848,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1993,million USD,44548.63258,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1993,million USD,5622.814312,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1993,million USD,9843.136904,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,M,Imports,1993,million USD,4973.312384,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,X,Exports,1993,million USD,1646.657792,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1993,million USD,9174.785152,,WTO,
CN,China,WL,World,MACH,Chemicals,X,Exports,1993,million USD,4623.660032,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1993,million USD,12681.71674,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,X,Exports,1993,million USD,1836.208948,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1993,million USD,6528.193408,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1993,million USD,73830.9773,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,1993,million USD,2128.098688,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,M,Imports,1993,million USD,9353.927288,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,X,Exports,1993,million USD,4521.685504,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1993,million USD,551.512,,WTO,
CN,China,WL,World,MIFU,Fuels,M,Imports,1993,million USD,5818.598912,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,1993,million USD,416.12352,,WTO,
CN,China,WL,World,MIFU,Fuels,X,Exports,1993,million USD,4108.63232,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,M,Imports,1993,million USD,1592.980224,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,1993,million USD,905.055936,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1993,million USD,2982.235236,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1993,million USD,9940.407472,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1993,million USD,1057.873088,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1993,million USD,6224.481144,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1993,million USD,87167.31202,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1993,million USD,8699.174912,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1993,million USD,11852.1849,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,1993,million USD,9734.530048,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1993,million USD,7645.067264,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,M,Imports,1993,million USD,5453.70624,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1994,million USD,115615,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1994,million USD,121006,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,1994,million USD,2917.572608,,WTO,
CN,China,WL,World,MACH,Chemicals,X,Exports,1994,million USD,6235.560448,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1994,million USD,51467.21894,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1994,million USD,11795.89939,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1994,million USD,9347.004416,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1994,million USD,9438.449664,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,1994,million USD,402.972672,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1994,million USD,14806.2281,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1994,million USD,23731.36794,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,X,Exports,1994,million USD,614.373952,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,M,Imports,1994,million USD,2072.877568,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,M,Imports,1994,million USD,10363.21075,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1994,million USD,21894.99802,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1994,million USD,10022.568,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1994,million USD,5077.8923,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1994,million USD,6314.784864,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1994,million USD,12178.45898,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1994,million USD,622.027328,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,M,Imports,1994,million USD,6805.449216,,WTO,
CN,China,WL,World,MIFU,Fuels,X,Exports,1994,million USD,4068.984832,,WTO,
CN,China,WL,World,MIFU,Fuels,M,Imports,1994,million USD,4034.296832,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1994,million USD,11818.46323,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1994,million USD,96734.96307,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,X,Exports,1994,million USD,2747.211848,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1994,million USD,7969.586632,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1994,million USD,1653.66144,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,X,Exports,1994,million USD,425.556676,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,1994,million USD,1185.297024,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1994,million USD,99524.49178,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,X,Exports,1994,million USD,2664.4096,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1994,million USD,10172.63713,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,1994,million USD,12128.87859,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,M,Imports,1994,million USD,4388.679012,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,X,Exports,1994,million USD,6743.784448,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1995,million USD,132084,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1995,million USD,148780,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,X,Exports,1995,million USD,621.19348,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1995,million USD,8405.131824,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1995,million USD,6878.26688,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,M,Imports,1995,million USD,2609.353932,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,1995,million USD,407.240832,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1995,million USD,104137.7227,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1995,million USD,10992.32542,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,1995,million USD,1581.966976,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,M,Imports,1995,million USD,5996.836644,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1995,million USD,14505.93242,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,X,Exports,1995,million USD,1294.617728,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1995,million USD,5224.562688,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,M,Imports,1995,million USD,2857.852416,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1995,million USD,12299.12554,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1995,million USD,31406.87462,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1995,million USD,9236.418544,,WTO,
CN,China,WL,World,MIFU,Fuels,X,Exports,1995,million USD,5332.029952,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1995,million USD,24048.87757,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1995,million USD,13918.19366,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,1995,million USD,3878.052608,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1995,million USD,10914.33267,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1995,million USD,968.944512,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,X,Exports,1995,million USD,4802.716672,,WTO,
CN,China,WL,World,MACH,Chemicals,X,Exports,1995,million USD,9095.109632,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1995,million USD,125007.1419,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1995,million USD,14997.29912,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,1995,million USD,17303.64211,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,X,Exports,1995,million USD,8408.598016,,WTO,
CN,China,WL,World,MIFU,Fuels,M,Imports,1995,million USD,5126.791168,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,X,Exports,1995,million USD,4092.49456,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1995,million USD,52642.38182,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,M,Imports,1995,million USD,7616.358912,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1995,million USD,16099.23318,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1995,million USD,14352.26394,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1996,million USD,138833,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1996,million USD,151048,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1996,million USD,14944.34022,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,X,Exports,1996,million USD,6716.75648,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1996,million USD,3633.651968,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1996,million USD,12427.4287,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,1996,million USD,18105.81504,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,X,Exports,1996,million USD,591.751287,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1996,million USD,13939.6887,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1996,million USD,17197.74106,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1996,million USD,8191.191072,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1996,million USD,12111.95392,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1996,million USD,11980.416,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1996,million USD,109637.5328,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,X,Exports,1996,million USD,4247.276472,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,M,Imports,1996,million USD,5833.303552,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,M,Imports,1996,million USD,6123.137784,,WTO,
CN,China,WL,World,MIFU,Fuels,X,Exports,1996,million USD,5931.298816,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,M,Imports,1996,million USD,3420.946176,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1996,million USD,13137.21944,,WTO,
CN,China,WL,World,MACH,Chemicals,X,Exports,1996,million USD,8876.776448,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,M,Imports,1996,million USD,2156.421132,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1996,million USD,7242.890752,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,1996,million USD,4685.438976,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1996,million USD,127259.0682,,WTO,
CN,China,WL,World,MIFU,Fuels,M,Imports,1996,million USD,6877.51424,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,X,Exports,1996,million USD,9004.085248,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1996,million USD,25034.46733,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1996,million USD,1044.476736,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1996,million USD,8636.160264,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1996,million USD,54763.60602,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1996,million USD,35311.86176,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,1996,million USD,1516.114176,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,1996,million USD,351.08048,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1996,million USD,15300.25387,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,X,Exports,1996,million USD,1476.899328,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1997,million USD,182792,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1997,million USD,142370,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,X,Exports,1997,million USD,5270.693384,,WTO,
CN,China,WL,World,MIFU,Fuels,M,Imports,1997,million USD,10305.69165,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1997,million USD,52773.54803,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,X,Exports,1997,million USD,731.92384,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,M,Imports,1997,million USD,4475.265536,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,M,Imports,1997,million USD,1904.526836,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,1997,million USD,6253.860864,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1997,million USD,1117.332224,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1997,million USD,12267.0551,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1997,million USD,15732.22056,,WTO,
CN,China,WL,World,MACH,Chemicals,X,Exports,1997,million USD,10227.02387,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1997,million USD,14632.64642,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1997,million USD,13828.0663,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,1997,million USD,19297.07315,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,X,Exports,1997,million USD,9243.839488,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1997,million USD,155907.2405,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1997,million USD,13050.39446,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,X,Exports,1997,million USD,10303.76346,,WTO,
CN,China,WL,World,MIFU,Fuels,X,Exports,1997,million USD,6986.548224,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1997,million USD,4463.73888,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1997,million USD,31803.25069,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,X,Exports,1997,million USD,1945.732864,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1997,million USD,16695.94726,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,M,Imports,1997,million USD,5966.820864,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1997,million USD,17165.47381,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1997,million USD,7182.403936,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1997,million USD,43708.53069,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1997,million USD,109631.8268,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,1997,million USD,1536.244608,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1997,million USD,6662.99648,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1997,million USD,10773.54136,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,1997,million USD,330.756736,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1997,million USD,21493.33581,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,M,Imports,1997,million USD,6228.59028,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1998,million USD,183712,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1998,million USD,140237,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,X,Exports,1998,million USD,796.406798,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,M,Imports,1998,million USD,2060.998596,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1998,million USD,11081.95635,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1998,million USD,6684.582016,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,M,Imports,1998,million USD,7817.854464,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,X,Exports,1998,million USD,11110.94784,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,X,Exports,1998,million USD,2386.873088,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1998,million USD,56844.57062,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,M,Imports,1998,million USD,5892.494848,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1998,million USD,12609.53392,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1998,million USD,22041.96915,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,M,Imports,1998,million USD,6288.23308,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,1998,million USD,8331.61984,,WTO,
CN,China,WL,World,MACH,Chemicals,X,Exports,1998,million USD,10320.68506,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,1998,million USD,533.511968,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1998,million USD,6488.867328,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1998,million USD,30048.07578,,WTO,
CN,China,WL,World,MIFU,Fuels,X,Exports,1998,million USD,5175.479808,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1998,million USD,160341.9505,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1998,million USD,1072.002048,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1998,million USD,8858.3184,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1998,million USD,13810.37123,,WTO,
CN,China,WL,World,MIFU,Fuels,M,Imports,1998,million USD,6775.353344,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1998,million USD,12181.62848,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1998,million USD,50216.58726,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1998,million USD,113054.3171,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,1998,million USD,20158.48653,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1998,million USD,3288.024576,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1998,million USD,14314.40762,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,X,Exports,1998,million USD,6463.7404,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,1998,million USD,1692.331776,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1998,million USD,12817.44077,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1998,million USD,25344.15744,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,X,Exports,1998,million USD,11846.33651,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1999,million USD,194931,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1999,million USD,165699,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,1999,million USD,1678.716879,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,1999,million USD,13391.01084,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,M,Imports,1999,million USD,7734.495727,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,X,Exports,1999,million USD,13368.45351,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,M,Imports,1999,million USD,2538.059646,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,X,Exports,1999,million USD,1039.854768,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1999,million USD,13852.88628,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1999,million USD,58836.42447,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1999,million USD,17702.81655,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,1999,million USD,24029.68555,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1999,million USD,1101.959227,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,X,Exports,1999,million USD,3709.760003,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1999,million USD,7494.525283,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,1999,million USD,820.761424,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1999,million USD,2659.153986,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,X,Exports,1999,million USD,13060.90383,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1999,million USD,172059.8575,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1999,million USD,30489.17667,,WTO,
CN,China,WL,World,MACH,Chemicals,X,Exports,1999,million USD,10373.46951,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1999,million USD,14209.39854,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1999,million USD,11079.48244,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1999,million USD,13042.95439,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1999,million USD,6725.817909,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1999,million USD,30139.11734,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,X,Exports,1999,million USD,6769.155831,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,M,Imports,1999,million USD,9363.670096,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,M,Imports,1999,million USD,7208.329852,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1999,million USD,11733.60987,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1999,million USD,30078.05148,,WTO,
CN,China,WL,World,MIFU,Fuels,M,Imports,1999,million USD,8911.698177,,WTO,
CN,China,WL,World,MIFU,Fuels,X,Exports,1999,million USD,4658.777359,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1999,million USD,69452.99787,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1999,million USD,8471.448135,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1999,million USD,132766.184,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,2000,million USD,249203,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,2000,million USD,225094,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,2000,million USD,169883.1046,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,2000,million USD,82599.86227,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,2000,million USD,16384.32382,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,2000,million USD,9042.554592,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,2000,million USD,1788.490368,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,2000,million USD,30212.50355,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,2000,million USD,19543.66659,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,2000,million USD,43498.00294,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,2000,million USD,36070.92019,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,2000,million USD,219858.7527,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,2000,million USD,952.889344,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,2000,million USD,21155.64749,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,2000,million USD,1191.936128,,WTO,
