Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
CN,China,WL,World,MACH,Chemicals,M,Imports,1980,million USD,2853.8,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1980,million USD,843,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1980,million USD,3206.2887,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1980,million USD,4956,E,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1980,million USD,68,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1980,million USD,1034,E,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1980,million USD,6476,E,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1980,million USD,5246.4,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1980,million USD,546,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1980,million USD,4384,E,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1980,million USD,8712,E,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1980,million USD,1100,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1980,million USD,1625,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1981,million USD,22014,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1981,million USD,22007,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1981,million USD,1590,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1981,million USD,12750,E,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1981,million USD,525,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1981,million USD,4457,E,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1981,million USD,1930,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1981,million USD,1670,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1981,million USD,3390,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1981,million USD,6039,E,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1981,million USD,7721,E,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1981,million USD,68,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1981,million USD,10612,E,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1982,million USD,19285,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1982,million USD,22321,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1982,million USD,4301,E,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1982,million USD,2140,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1982,million USD,5738,E,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1982,million USD,7038,E,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1982,million USD,1170,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1982,million USD,1793,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1982,million USD,9774,E,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1982,million USD,0,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1982,million USD,2735,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1982,million USD,10102,E,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1982,million USD,487,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1983,million USD,21390,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1983,million USD,22226,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1983,million USD,0,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1983,million USD,4561,E,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1983,million USD,205,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1983,million USD,5172,E,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1983,million USD,911,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1983,million USD,5338,E,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1983,million USD,2320,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1983,million USD,3270,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1983,million USD,12658,E,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1983,million USD,3536,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1983,million USD,10460,E,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1984,million USD,27410,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1984,million USD,26139,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1984,million USD,18115.51361,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1984,million USD,5217.868155,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1984,million USD,3798.067348,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1984,million USD,1970.381021,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1984,million USD,1580.740776,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1984,million USD,11852.08987,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1984,million USD,6273.894762,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1984,million USD,3825,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1984,million USD,4385.353825,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1984,million USD,4361,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1984,million USD,1370,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1984,million USD,2755,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1984,million USD,2363.325448,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1984,million USD,130,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1984,million USD,343.293777,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1984,million USD,6.013,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1985,million USD,42252,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1985,million USD,27350,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1985,million USD,96.566404,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1985,million USD,4487,E,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1985,million USD,1755.596562,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1985,million USD,7120,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1985,million USD,3346.11289,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1985,million USD,6244,E,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1985,million USD,118,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1985,million USD,4274.743528,,WTO,
